ADM_CD,시군구,행정동,시가지,면적,총인구수,0-2세,3-6세,0-6세,영유아비율(%),기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),유형,반경커버율(%),반경신뢰도,반경주의,인접동수_1_5km,시설수_1km,시설수_1_5km,유형_최종,평당가,연식,거래건수
22060650,수성구,파동,Y,5.83,17086,381,460,841,4.92,9,7,2,975,766,115.9,91.1,78.6,양호,119.1,정상,N,0,7,11,양호,1505.04471662574,10.0,172.0
22060660,수성구,두산동,Y,1.96,14835,204,333,537,3.62,6,6,0,379,164,70.6,30.5,43.3,이중취약,83.3,정상,N,3,10,26,이중취약,2531.2748680047225,17.0,142.0
22060670,수성구,지산1동,Y,2.85,18643,79,147,226,1.21,8,5,3,929,437,411.1,193.4,47.0,질적미스매치,169.9,정상,N,3,9,28,질적미스매치,895.5641931684335,35.0,131.0
22060680,수성구,지산2동,Y,1.71,18161,178,269,447,2.46,6,4,2,776,565,173.6,126.4,72.8,양호,179.4,정상,N,3,10,21,광역거점,1080.429512015403,35.0,219.0
22060690,수성구,범물1동,Y,5.67,9658,46,44,90,0.93,2,1,1,64,18,71.1,20.0,28.1,이중취약,131.6,정상,N,3,10,16,질적미스매치,864.2178286710819,34.0,84.0
22060700,수성구,범물2동,Y,2.1,15546,172,255,427,2.75,5,3,2,366,191,85.7,44.7,52.2,이중취약,128.1,정상,N,2,11,15,질적미스매치,919.8107957707292,33.0,197.0
22060710,수성구,고산1동,Y,8.86,31119,296,615,911,2.93,9,6,3,907,566,99.6,62.1,62.4,이중취약,127.1,정상,N,2,13,26,질적미스매치,1147.5770769592843,30.0,339.0
22060720,수성구,고산2동,Y,24.54,25542,318,584,902,3.53,15,10,5,1332,1035,147.7,114.7,77.7,양호,139.7,정상,Y,1,15,23,광역거점,1613.773781799959,19.0,293.0
22060730,수성구,고산3동,Y,5.24,29203,216,438,654,2.24,9,8,1,672,212,102.8,32.4,31.5,질적미스매치,75.5,정상,N,1,12,17,이중취약,1041.4073156146812,26.0,396.0
22070550,달서구,두류3동,Y,1.17,8919,96,133,229,2.57,5,3,2,251,199,109.6,86.9,79.3,양호,74.9,정상,N,5,10,36,물리적부족,1636.7642326068838,24.0,77.0
22070560,달서구,본리동,Y,1.09,22963,500,630,1130,4.92,13,10,3,840,633,74.3,56.0,75.4,물리적부족,110.5,정상,N,5,35,57,양호,1384.556903864279,17.0,336.0
22070570,달서구,감삼동,Y,1.11,31110,663,906,1569,5.04,16,13,3,1006,758,64.1,48.3,75.3,물리적부족,88.2,정상,N,6,39,58,물리적부족,1841.317734282044,16.0,457.0
22070580,달서구,죽전동,Y,0.81,14342,278,251,529,3.69,4,4,0,282,180,53.3,34.0,63.8,이중취약,75.0,정상,N,6,21,52,이중취약,2325.5339305768207,2.0,82.0
22070590,달서구,장기동,Y,2.8,15338,208,252,460,3.0,8,5,3,519,411,112.8,89.3,79.2,양호,78.6,정상,N,5,29,54,물리적부족,1294.947999295311,22.0,194.0
22070600,달서구,이곡1동,Y,1.82,19674,163,233,396,2.01,13,11,2,950,566,239.9,142.9,59.6,질적미스매치,218.1,정상,N,2,28,38,질적미스매치,858.173639500447,29.0,220.0
22070610,달서구,신당동,Y,9.01,27982,188,249,437,1.56,16,14,2,818,461,187.2,105.5,56.4,질적미스매치,130.9,정상,N,0,11,17,질적미스매치,895.4587209987045,27.0,225.0
