ADM_CD,시군구,행정동,총인구수,0-2세,3-6세,0-6세,기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),어린이집_정원,어린이집_현원,유치원_정원,유치원_현원,유형,key,코드,hjd_cd_x,거래건수,평당가,연식,단지수,hjd_cd_y,거래건수_3년,평당가_3년,연식_3년,단지수_3년,cov,fil,pop,logp,logcov,소형,분위
22030640,서구,평리5동,10517,589,599,1188,6,5,1,288,241,24.2,20.3,83.7,228,215,60,26,물리적부족,서구|평리5동,2717066000,2717066000.0,84.0,1886.838837990668,3.0,3.0,2717066000.0,155.0,1876.150196046109,3.0,3.0,24.2,83.7,1188,7.542658135250976,3.2268439945173775,0,4
22030650,서구,평리6동,5406,178,123,301,4,3,1,165,111,54.8,36.9,67.3,147,104,18,7,물리적부족,서구|평리6동,2717066100,2717066100.0,80.0,1644.1293528214371,3.0,2.0,2717066100.0,133.0,1644.1293528214371,3.0,2.0,54.8,67.3,301,7.404966254285742,4.021773869387265,0,4
22030660,서구,상중이동,16903,104,155,259,11,9,2,687,566,265.3,218.5,82.4,645,555,42,11,양호,서구|상중이동,2717067500,2717067500.0,95.0,968.7053860848667,17.0,12.0,2717067500.0,339.0,1038.5284391534394,17.0,16.0,265.3,82.4,259,6.875960526533396,5.584623492819887,0,2
22030680,서구,원대동,9968,166,171,337,4,3,1,707,232,209.8,68.8,32.8,227,195,480,37,질적미스매치,서구|원대동,2717069500,2717069500.0,112.0,2109.781184588064,3.0,5.0,2717069500.0,179.0,2081.4195431382477,3.0,6.0,209.8,32.8,337,7.654339517105782,5.350909816667207,0,5(고가)
22040510,남구,이천동,14239,305,372,677,6,5,1,405,367,59.8,54.2,90.6,225,187,180,180,물리적부족,남구|이천동,2720051500,2720051500.0,235.0,1225.8091806425673,20.0,12.0,2720051500.0,557.0,1146.13505341665,20.0,13.0,59.8,90.6,677,7.111356460534572,4.107589788972121,0,3
22040530,남구,봉덕1동,7709,44,60,104,2,2,0,87,81,83.7,77.9,93.1,87,81,0,0,물리적부족,남구|봉덕1동,2720053000,2720053000.0,37.0,1283.533938089019,18.0,4.0,2720053000.0,111.0,1302.981421999459,18.0,4.0,83.7,93.1,104,7.157372441791783,4.439115601658009,0,3
22040540,남구,봉덕2동,12804,265,362,627,5,4,1,394,305,62.8,48.6,77.4,226,142,168,163,물리적부족,남구|봉덕2동,2720054000,2720054000.0,194.0,1694.2311791905445,6.0,12.0,2720054000.0,589.0,1665.227689686353,7.0,12.0,62.8,77.4,627,7.434984335316802,4.155753190350744,0,4
22040550,남구,봉덕3동,14069,95,159,254,5,2,3,473,431,186.2,169.7,91.1,125,115,348,316,양호,남구|봉덕3동,2720055000,2720055000.0,98.0,731.782263568988,35.0,10.0,2720055000.0,271.0,886.7489270386266,31.0,13.0,186.2,91.1,254,6.595483015572327,5.232177564043492,0,1(저가)
22040560,남구,대명1동,9270,45,76,121,4,3,1,451,84,372.7,69.4,18.6,251,64,200,20,질적미스매치,남구|대명1동,2720056000,2720056000.0,17.0,727.2776161724804,46.0,5.0,2720056000.0,60.0,756.2732893652102,39.0,8.0,372.7,18.6,121,6.589308270078169,5.923453336491439,0,1(저가)
22040570,남구,대명2동,15176,327,289,616,3,2,1,266,254,43.2,41.2,95.5,70,60,196,194,물리적부족,남구|대명2동,2720057100,2720057100.0,137.0,2128.510872570123,4.0,5.0,2720057100.0,327.0,2079.3643571034727,4.0,6.0,43.2,95.5,616,7.663177893345423,3.7887247890836524,0,5(고가)
22040580,남구,대명3동,11752,140,114,254,3,2,1,348,235,137.0,92.5,67.5,108,45,240,190,양호,남구|대명3동,2720058600,2720058600.0,25.0,811.9046659323664,46.0,4.0,2720058600.0,31.0,811.9046659323664,46.0,5.0,137.0,67.5,254,6.699382926781763,4.927253685157205,0,1(저가)
22040590,남구,대명4동,9057,38,71,109,4,4,0,324,159,297.2,145.9,49.1,324,159,0,0,질적미스매치,남구|대명4동,2720059000,2720059000.0,4.0,527.3835855350134,39.0,4.0,2720059000.0,15.0,685.6474074074075,43.0,9.0,297.2,49.1,109,6.267928150065511,5.697764402330638,0,1(저가)
22040600,남구,대명5동,8812,215,194,409,3,3,0,212,155,51.8,37.9,73.1,212,155,0,0,물리적부족,남구|대명5동,2720060000,2720060000.0,22.0,2112.062356248403,2.0,5.0,2720060000.0,35.0,903.3474518376828,29.0,6.0,51.8,73.1,409,7.655420169129132,3.966511190712216,0,5(고가)
22040610,남구,대명6동,10324,130,171,301,3,3,0,178,105,59.1,34.9,59.0,178,105,0,0,이중취약,남구|대명6동,2720061000,2720061000.0,75.0,2020.398401307593,4.0,3.0,2720061000.0,193.0,2024.2912691328484,4.0,3.0,59.1,59.0,301,7.611049999318388,4.096009841541162,0,5(고가)
22040640,남구,대명9동,13115,81,115,196,3,1,2,458,356,233.7,181.6,77.7,50,46,408,310,양호,남구|대명9동,2720064000,2720064000.0,15.0,829.3527345709985,28.0,2.0,2720064000.0,36.0,843.1752801471819,28.0,2.0,233.7,77.7,196,6.72064555869265,5.458308102856978,0,1(저가)
22040650,남구,대명10동,7846,32,48,80,1,1,0,98,17,122.5,21.2,17.3,98,17,0,0,질적미스매치,남구|대명10동,2720065000,2720065000.0,46.0,829.2104097877343,45.0,10.0,2720065000.0,106.0,845.1105367871064,45.0,10.0,122.5,17.3,80,6.7204739344960105,4.816241156068032,1,1(저가)
22040660,남구,대명11동,7171,37,47,84,2,2,0,123,36,146.4,42.9,29.3,123,36,0,0,질적미스매치,남구|대명11동,2720066000,2720066000.0,22.0,1232.3671459988063,5.0,4.0,2720066000.0,41.0,1187.8997635933808,4.0,5.0,146.4,29.3,84,7.116692107813781,4.993149979755236,1,3
22050510,북구,고성동,14564,821,787,1608,9,9,0,579,548,36.0,34.1,94.6,579,548,0,0,물리적부족,북구|고성동,2723051000,2723051000.0,293.0,2233.725436270332,3.0,9.0,2723051000.0,653.0,2096.5668568502238,3.0,10.0,36.0,94.6,1608,7.711426069779859,3.6109179126442243,0,5(고가)
22050520,북구,칠성동,23366,426,545,971,14,13,1,521,402,53.7,41.4,77.2,449,331,72,71,물리적부족,북구|칠성동,2723052600,2723052600.0,412.0,1563.8573839285084,14.0,19.0,2723052600.0,1115.0,1518.171969572078,14.0,21.0,53.7,77.2,971,7.354910730201015,4.001863709427935,0,4
22050560,북구,침산2동,17872,305,506,811,7,5,2,754,721,93.0,88.9,95.6,222,190,532,531,물리적부족,북구|침산2동,2723056000,2723056000.0,293.0,1613.9355416927085,20.0,16.0,2723056000.0,874.0,1637.9605257664634,20.0,19.0,93.0,95.6,811,7.386430911039026,4.543294782270004,0,4
22050570,북구,침산3동,17714,195,354,549,9,8,1,453,413,82.5,75.2,91.2,273,233,180,180,물리적부족,북구|침산3동,2723057000,2723057000.0,236.0,1111.2474897382972,27.0,17.0,2723057000.0,674.0,1119.2141440689893,27.0,18.0,82.5,91.2,549,7.013238527872399,4.42484663185681,0,3
22050610,북구,산격1동,7389,15,25,40,2,1,1,103,48,257.5,120.0,46.6,85,45,18,3,질적미스매치,북구|산격1동,2723061000,2723061000.0,4.0,555.4409072956839,29.0,2.0,2723061000.0,21.0,656.3239289446186,44.0,3.0,257.5,46.6,40,6.319762225915677,5.554895693948484,1,1(저가)
22050620,북구,산격2동,9393,61,92,153,4,3,1,470,369,307.2,241.2,78.5,260,203,210,166,양호,북구|산격2동,2723062000,2723062000.0,90.0,1049.8408858317316,27.0,10.0,2723062000.0,248.0,1070.0270715630886,27.0,10.0,307.2,78.5,153,6.956393894365519,5.730748922886015,0,2
22050640,북구,산격4동,6965,19,53,72,4,3,1,464,331,644.4,459.7,71.3,192,82,272,249,양호,북구|산격4동,2723063100,2723063100.0,8.0,657.7366698068693,27.0,3.0,2723063100.0,27.0,800.2205486820872,27.0,3.0,644.4,71.3,72,6.48880465336288,6.4698702796178615,1,1(저가)
22050650,북구,복현1동,7153,27,26,53,1,1,0,49,14,92.5,26.4,28.6,49,14,0,0,이중취약,북구|복현1동,2723067100,2723067100.0,9.0,701.9925676871351,24.0,8.0,2723067100.0,22.0,792.6194585145797,24.0,15.0,92.5,28.6,53,6.553922816629502,4.537961436294641,1,1(저가)
22050660,북구,복현2동,28765,477,563,1040,15,11,4,1126,875,108.3,84.1,77.7,539,375,587,500,양호,북구|복현2동,2723067200,2723067200.0,402.0,1399.8538049947465,13.0,23.0,2723067200.0,1175.0,1388.4915396615866,13.0,27.0,108.3,77.7,1040,7.244123085146927,4.694096395182493,0,3
22050700,북구,검단동,5422,23,44,67,1,1,0,62,0,92.5,0.0,0.0,62,0,0,0,이중취약,북구|검단동,2723068000,2723068000.0,60.0,656.3239289446186,34.0,2.0,2723068000.0,144.0,669.2007700680756,34.0,2.0,92.5,0.0,67,6.486654461190785,4.537961436294641,1,1(저가)
22050710,북구,무태조야동,32558,381,690,1071,20,15,5,1493,795,139.4,74.2,53.2,763,410,730,385,질적미스매치,북구|무태조야동,2723069500,2723069500.0,328.0,890.1972860051653,23.0,14.0,2723069500.0,1064.0,932.047780359454,23.0,15.0,139.4,53.2,1071,6.79144310782982,4.944495491591711,0,2
22050740,북구,태전2동,21662,193,338,531,7,5,2,678,341,127.7,64.2,50.3,440,226,238,115,질적미스매치,북구|태전2동,2723073500,2723073500.0,205.0,772.8991315965263,31.0,14.0,2723073500.0,583.0,883.313293253173,27.0,17.0,127.7,50.3,531,6.650148550547084,4.857484114602081,0,1(저가)
22050750,북구,관문동,32010,538,926,1464,17,12,5,1537,911,105.0,62.2,59.3,751,475,786,436,질적미스매치,북구|관문동,2723071500,2723071500.0,372.0,1081.625267094017,10.0,13.0,2723071500.0,1139.0,1134.1484448004271,10.0,13.0,105.0,59.3,1464,6.986220065864598,4.663439094112067,0,3
22050760,북구,읍내동,24632,264,427,691,12,9,3,1261,607,182.5,87.8,48.1,717,286,544,321,질적미스매치,북구|읍내동,2723077000,2723077000.0,285.0,789.9163679808842,29.0,18.0,2723077000.0,814.0,778.2931135962331,31.0,19.0,182.5,48.1,691,6.671927076541815,5.212214667494625,0,1(저가)
22050770,북구,관음동,13674,75,142,217,5,3,2,424,124,195.4,57.1,29.2,78,37,346,87,질적미스매치,북구|관음동,2723075000,2723075000.0,101.0,701.6200919702865,26.0,5.0,2723075000.0,251.0,725.0074283692961,26.0,5.0,195.4,29.2,217,6.553392078005809,5.280153395920365,0,1(저가)
22050780,북구,태전1동,21133,181,238,419,9,6,3,935,601,223.2,143.4,64.3,313,206,622,395,질적미스매치,북구|태전1동,2723072500,2723072500.0,236.0,681.3352177470179,31.0,20.0,2723072500.0,668.0,718.892606222817,31.0,23.0,223.2,64.3,419,6.5240544284251705,5.4125385106380595,0,1(저가)
